Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Tier 2 subs,Tier 3 subs,Total Gifted Subs,Gifted Tier 1 subs,Gifted Tier 2 subs,Gifted Tier 3 subs
Thu Jun 01 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 02 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 03 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 04 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 05 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 06 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 07 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 08 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 09 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 10 2017,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 11 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 12 2017,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 13 2017,0,0,2.98,114,6,0,0,1,0,11,5,480,157,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 14 2017,0,0,3.47,260,9,0,0,2,0,35,8,653,192,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 15 2017,0,0,4.45,40,3,0,0,2,0,1,8,89,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 16 2017,0,0,3.73,38,5,0,0,2,0,17,6,421,115,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 17 2017,0,0,3.99,100,8,0,0,0,0,16,7,591,148,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 18 2017,0,0,6.16,94,6,0,0,0,0,13,8,671,97,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 19 2017,0,0,1.24,0,0,0,0,0,0,9,3,126,104,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 20 2017,0,0,3.53,117,9,5,3,5,0,52,9,1835,484,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 21 2017,0,0,2.26,23,7,0,0,1,0,25,5,821,347,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 22 2017,0,0,4.74,130,13,6,1,6,0,65,14,1872,379,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 23 2017,0,0,7.35,46,4,2,0,0,0,36,10,1029,142,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 24 2017,0,0,6.57,59,7,3,0,0,0,31,10,1433,211,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 25 2017,0,0,1.96,5,2,1,0,0,0,17,4,315,157,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 26 2017,0,0,2.39,177,6,0,0,1,0,23,5,590,242,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 27 2017,0,0,4.09,98,5,0,0,0,0,4,6,45,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 28 2017,0,0,5.54,528,13,0,0,2,0,57,11,1907,340,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 29 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 30 2017,0,0,3.94,129,10,0,0,1,0.11,35,11,938,233,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 01 2017,0,0,5.12,182,9,0,0,1,0,39,8,1685,297,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jul 02 2017,0,0,5.23,280,9,0,0,1,0,40,8,1594,296,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 03 2017,0,0,9.57,332,16,1,1,22,0,83,21,2115,211,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 04 2017,0,0,14.5,118,12,1,0,13,0,45,21,957,66,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 05 2017,0,0,6.85,294,13,0,0,37,0,109,14,1561,219,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jul 06 2017,0,0,6.61,364,16,0,0,358,0,102,14,2088,302,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 07 2017,0,0,4.86,270,10,0,0,1,0,33,8,1342,259,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 08 2017,0,0,7.03,379,23,0,0,15,0,88,15,2572,342,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jul 09 2017,0,0,12.3,293,14,2,1,34,0,50,18,1378,84,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 10 2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 11 2017,0,0,7.61,279,13,0,0,7,0,54,11,1994,267,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
